,subset,image
0,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.281489753704424911132261151767.mhd
1,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.313334055029671473836954456733.mhd
2,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.333145094436144085379032922488.mhd
3,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.640729228179368154416184318668.mhd
4,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.313605260055394498989743099991.mhd
5,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.832260670372728970918746541371.mhd
6,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.404364125369979066736354549484.mhd
7,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441.mhd
8,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.716498695101447665580610403574.mhd
9,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.227962600322799211676960828223.mhd
10,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.219087313261026510628926082729.mhd
11,/Users/john/Projects/SOTAEvaluationNoduleDetection/models/detection/LUNA16_datasplit/mhd_original/dataset_fold9.json,1.3.6.1.4.1.14519.5.2.1.6279.6001.139258777898746693365877042411.mhd
